FID,globalid,Building name,Building code,Entrance name,Is the entrance width greater than 32 in?,Is the door automatic?,How is the ground in front of the entrance?,Additional Notes,Creation date,Creator,Last edited,Editor,Is there braille signage at the entrance?,Braille notes,Picture,GlobalID_2,Creation_1,Creator_1,EditDate_1,Editor_1,GlobalID_3,CreationDate,Creator,EditDate,Editor,Photo,x,y
38,{4EC80295-AA2E-48A6-9628-D6B4CBAF2823},Hutchinson Gymnasium,Campus 250,Main and accessible,yes,no,level,According to building manager this is the most accessible enterence (the others lead to stair obstructions),3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/27/attachments/29?token=,41ec0022-0483-4d29-a1c6-247f24a3f5d4,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,669d8219-c379-4c15-ac23-3aa69fdd3af4,11/7/2018 12:58:58 PM,upennamp_UPenn,12/13/2018 7:25:59 PM,upennamp_UPenn,,-75.1891688521149,39.9510522439422
39,{0D0D7F11-923C-4A31-BCA9-D91B8F83B122},Silverman,305,Sansom entrance,yes,no,stairs,A set of descending stairs in front of the door,4/20/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/42/attachments/42?token=,133d5e87-c140-4b13-b06a-e61c312c7294,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,456b838b-c303-4bc3-b40b-02dad4afb210,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1923793029999,39.953733722
40,{B5573448-5508-4A7E-9973-DABA4F4B6BB3},Vance Hall, ,Vance hall main entrance,yes,yes,both,"Open 7am to 7pm weekdays and not on weekends. To get to it from the spruce street walkway, you must go on a ramp that leads in a semi circle up to the entrance.",3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/37/attachments/38?token=,46aad784-42a2-4f73-9add-be4de8d536f1,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,2f9869c9-a53d-444a-99ac-a8d4459ffabf,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.19741069,39.951384252
41,{CB6AB056-FF91-429A-948A-DDDD9725E9C1},College Hall, ,Side entrance opposite to Houston Hall,yes,no,both,Ramp leads to door but once inside there is no way to proceed further,5/2/2018 12:00:00 AM, ,5/2/2018 12:00:00 AM, ,no, , ,94f15efe-0a2d-48c0-8c5a-dc3b24240981,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,5a38d1ae-4634-4f75-ab6d-e421dc2c916d,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1938567999999,39.9510944
42,{037F849B-BF17-4B04-BC65-E38B7468CA54},Annenberg Center for the Performing arts,10,Plaza entrance(off of locusts walk),yes,yes,both,"The entrance can be access from locusts walk, which has brick paths. The entrance itself is  flat stone tiles. Has one automatic door, and 4 non automatic. Doors open into a small carpeted area with another set of similar doors.",3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/31/attachments/33?token=,cf11edec-adf7-4a03-b15c-39f728a49e6d,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,85498d88-105f-4268-a024-671982efdf70,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.196190526,39.9528419160001
43,{572C5BE6-EFD7-4BA2-9796-E4DAC62CDD6B},John M Huntsman Hall, ,Walnut Street Entrance,yes,yes,both,Only open before 7pm on weekdays. Not open on weekends.,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/22/attachments/24?token=,7e6d531d-a6a0-4cd1-bc2e-b8a0e1e6b2b4,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,39e344dd-571b-41d3-a154-e9d4e360f649,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.197848458,39.953216771
44,{09D85848-4566-4683-9C82-EF67519278F4},Stiteler Hall,Campus 550,Main,yes,no,stairs,Not wheel chair accessible,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/10/attachments/12?token=,12dcc6fb-b93b-489e-8755-329c7c586f61,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,dea2f58d-51b5-40bb-8ccf-cfe1a540bc22,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.196962118,39.952783276
45,{F323D645-92DE-4BE8-8118-F78ECDEE4194},College Hall, ,West Entrance (facing Claudia Cohen hall),yes,no,level,No push button outside but there’s a push button inside. Opens into more doors without push buttons but ground is level.,5/2/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/53/attachments/49?token=,cb68d7f9-80a2-4585-919d-d3e1d6ed5cdc,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,64696a09-c62a-4be3-8234-9e7d3da434f3,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.194236626,39.9514787310001
46,{B8C86C9A-90C1-425A-89CA-FA6AC073F583},Fisher Bennett Hall,Campus - 25,Main,yes,yes,ramp, ,3/28/2018 12:00:00 AM, ,3/28/2018 12:00:00 AM, ,no, , ,f131f893-3524-41d4-a584-4e8506ef1132,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,72bd2a09-d13c-46d1-b4e0-d26af5b17f72,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1920514179999,39.952871497
47,{0348C121-1F9B-442B-9D5C-FB4779DD5AE0},Vance Hall,CAMPUS-590,Side entrance,yes,yes,ramp,Ramp just inside door to the left,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/32/attachments/35?token=,e77ba668-e7b4-4019-aa30-86e94b6f6ab1,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,4b6ef182-643b-4d0d-8af7-8615ead0b95d,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.198164515,39.9515539280001
48,{8C3D9272-655D-4B64-BDA2-FBF5B2262E79},College Hall, ,Undergraduate Entrance,yes,yes,both, ,5/2/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,yes,Rubber treshold, ,706d8858-335b-486e-a0a9-2eccfa3fd418,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,6d2107a5-f93e-4a78-a568-24e4da3f3c0f,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.193878857,39.9513037450001
49,{D090DDCB-C57D-4E24-B140-FC2A551ABE51},Williams Hall,Campus-620,Spruce Street Entrance,yes,yes,ramp,"If you enter here, you can go directly to the main elevator bank.",3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/38/attachments/39?token=,7a04a64e-6a09-4121-af87-03a7f577fc2c,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,7421c0af-0005-4cd6-ba66-5000cebef2fa,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.195159261,39.950914841
50,,Penn Bookstore ,532,36th and Walnut on the Walnut side,yes,yes,level,,,,,,no,,,,,,,,edac25fd-a236-4e59-8381-12764f8ce69c,11/16/2018 6:15:53 PM,,12/13/2018 10:26:19 PM,upennamp_UPenn,A203BDBA-C03E-4FB8-B118-A93978773AFC-13_1_22.jpeg,-75.19495,39.95323
51,,McNeil Ctr for Early American Studies,230,South Entrance,yes,yes,level,"There is a button at the South Entrance allowing for wheelchair accessibility, but in order to gain access, visitors must got to east entrance and request entry using an intercom/video system. ",,,,,no,,,,,,,,75bde433-d37a-4d8c-85dd-f5734dd59124,11/16/2018 6:55:40 PM,,11/16/2018 6:55:40 PM,,,-75.19164,39.95333
52,,Fisher-Bennett Hall,25,Main Walnut-Street Entrance,yes,yes,both,There is a crack mid-way up the ramp. The main left-hand door opens via the button but the outer door is only 31".,,,,,no,No Braille.,,,,,,,6e06c64b-c48e-493d-857b-27edc0505c43,11/16/2018 7:08:25 PM,,12/13/2018 10:26:24 PM,upennamp_UPenn,FBH AMP Entrance-14_8_22.jpg,-75.19191,39.95254
